Term,Tier_1,Tier_2,Tier_3,Tier_4,Tier_5
46,0.002763,0.002072,0.001036,0.000518,0.000259
47,0.002821,0.002116,0.001058,0.000529,0.000265
48,0.00288,0.00216,0.00108,0.00054,0.00027
49,0.002939,0.002204,0.001102,0.000551,0.000276
50,0.002997,0.002248,0.001124,0.000562,0.000281
51,0.003056,0.002292,0.001146,0.000573,0.000287
52,0.003115,0.002336,0.001168,0.000584,0.000292
53,0.003173,0.00238,0.00119,0.000595,0.000298
54,0.003232,0.002424,0.001212,0.000606,0.000303
55,0.003291,0.002468,0.001234,0.000617,0.000309
56,0.003349,0.002512,0.001256,0.000628,0.000314
57,0.003408,0.002556,0.001278,0.000639,0.00032
58,0.003467,0.0026,0.0013,0.00065,0.000325
59,0.003525,0.002644,0.001322,0.000661,0.000331
60,0.003584,0.002688,0.001344,0.000672,0.000336
61,0.003643,0.002732,0.001366,0.000683,0.000342
62,0.003701,0.002776,0.001388,0.000694,0.000347
63,0.00376,0.00282,0.00141,0.000705,0.000353
64,0.003819,0.002864,0.001432,0.000716,0.000358
65,0.003877,0.002908,0.001454,0.000727,0.000364
66,0.003936,0.002952,0.001476,0.000738,0.000369
67,0.003995,0.002996,0.001498,0.000749,0.000375
68,0.004053,0.00304,0.00152,0.00076,0.00038
69,0.004112,0.003084,0.001542,0.000771,0.000386
70,0.004171,0.003128,0.001564,0.000782,0.000391
71,0.004229,0.003172,0.001586,0.000793,0.000397
72,0.004288,0.003216,0.001608,0.000804,0.000402
73,0.004347,0.00326,0.00163,0.000815,0.000408
74,0.004405,0.003304,0.001652,0.000826,0.000413
75,0.004464,0.003348,0.001674,0.000837,0.000419
76,0.004523,0.003392,0.001696,0.000848,0.000424
77,0.004581,0.003436,0.001718,0.000859,0.00043
78,0.00464,0.00348,0.00174,0.00087,0.000435
79,0.004699,0.003524,0.001762,0.000881,0.000441
80,0.004757,0.003568,0.001784,0.000892,0.000446
81,0.004816,0.003612,0.001806,0.000903,0.000452
82,0.004875,0.003656,0.001828,0.000914,0.000457
83,0.004933,0.0037,0.00185,0.000925,0.000463
84,0.004992,0.003744,0.001872,0.000936,0.000468
85,0.005051,0.003788,0.001894,0.000947,0.000474
86,0.005109,0.003832,0.001916,0.000958,0.000479
87,0.005168,0.003876,0.001938,0.000969,0.000485
88,0.005227,0.00392,0.00196,0.00098,0.00049
89,0.005285,0.003964,0.001982,0.000991,0.000496
90,0.005344,0.004008,0.002004,0.001002,0.000501
91,0.005403,0.004052,0.002026,0.001013,0.000507
92,0.005461,0.004096,0.002048,0.001024,0.000512
93,0.00552,0.00414,0.00207,0.001035,0.000518
94,0.005579,0.004184,0.002092,0.001046,0.000523
95,0.005637,0.004228,0.002114,0.001057,0.000529
96,0.005696,0.004272,0.002136,0.001068,0.000534
97,0.005755,0.004316,0.002158,0.001079,0.00054
98,0.005813,0.00436,0.00218,0.00109,0.000545
99,0.005872,0.004404,0.002202,0.001101,0.000551
100,0.005931,0.004448,0.002224,0.001112,0.000556
101,0.005989,0.004492,0.002246,0.001123,0.000562
102,0.006048,0.004536,0.002268,0.001134,0.000567
103,0.006107,0.00458,0.00229,0.001145,0.000573
104,0.006165,0.004624,0.002312,0.001156,0.000578
105,0.006224,0.004668,0.002334,0.001167,0.000584
106,0.006283,0.004712,0.002356,0.001178,0.000589
107,0.006341,0.004756,0.002378,0.001189,0.000595
108,0.0064,0.0048,0.0024,0.0012,0.0006
109,0.006459,0.004844,0.002422,0.001211,0.000606
110,0.006517,0.004888,0.002444,0.001222,0.000611
111,0.006576,0.004932,0.002466,0.001233,0.000617
112,0.006635,0.004976,0.002488,0.001244,0.000622
113,0.006693,0.00502,0.00251,0.001255,0.000628
114,0.006752,0.005064,0.002532,0.001266,0.000633
115,0.006811,0.005108,0.002554,0.001277,0.000639
116,0.006869,0.005152,0.002576,0.001288,0.000644
117,0.006928,0.005196,0.002598,0.001299,0.00065
118,0.006987,0.00524,0.00262,0.00131,0.000655
119,0.007045,0.005284,0.002642,0.001321,0.000661
120,0.007104,0.005328,0.002664,0.001332,0.000666
